NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize;
21;30;100;100;9;18;0.01;0.00126;
100;26;100;100;9;14;0.04;0.00126;
100;24;100;100;9;15;0.07;0.00126;
100;22;100;100;8;15;0.1;0.00126;
100;100;100;100;100;100;0.01;0.00156;
100;100;100;100;100;100;0.04;0.00156;
100;100;100;100;100;100;0.07;0.00156;
100;93;100;100;44;77;0.1;0.00156;
100;100;100;100;100;100;0.01;0.00186;
100;100;100;100;100;100;0.04;0.00186;
100;100;100;100;100;100;0.07;0.00186;
100;100;24;24;30;100;0.1;0.00186;
100;100;100;100;100;100;0.01;0.0206;
100;100;100;100;47;100;0.04;0.0206;
100;100;100;100;100;4;0.07;0.0206;
100;100;100;100;45;100;0.1;0.0206;
