NN;E;Iter;Constant;Automatic;ANDERSON;x;y;;;;;;;;;;;;;;x;y
10;90;100;60;35;100;0.37;0.035;;;;;;;;;;;;;;0.37;0.035
9;85;100;100;100;78;0.37;0.04;;;;;;;;;;;;;;0.37;0.04
9;89;100;100;100;100;0.37;0.045;;;;;;;;;;;;;;0.37;0.045
14;100;14;100;24;43;0.37;0.05;;;;;;;;;;;;;;0.37;0.05
23;100;13;15;20;15;0.37;0.055;;;;;;;;;;;;;;0.37;0.055
10;47;10;20;20;12;0.37;0.06;;;;;;;;;;;;;;0.37;0.06
11;30;11;20;15;12;0.37;0.065;;;;;;;;;;;;;;0.37;0.065
13;20;14;17;17;14;0.37;0.07;;;;;;;;;;;;;;0.37;0.07
11;19;14;23;21;15;0.37;0.075;;;;;;;;;;;;;;0.37;0.075
16;31;14;100;91;16;0.37;0.08;;;;;;;;;;;;;;0.37;0.08
9;100;100;100;50;100;0.3;0.04;;;;;;;;;;;;;;0.3;0.04
12;100;100;100;100;43;1.1;0.04;;;;;;;;;;;;;;1.1;0.04
